R,G,B,is_purple
0.7418537,0.36286342,0.71510965,1
0.87602293,0.03691563,0.5246398,1
0.58377767,0.32712224,0.8517117,1
0.9877099,0.14355403,0.9950566,1
0.98909485,0.2544454,0.56172824,1
0.96557474,0.2024487,0.5850292,1
0.8753191,0.3125093,0.63866687,1
0.86810946,0.40888867,0.89451504,1
0.8229928,0.053444386,0.8318514,1
0.6459182,0.075883865,0.8765794,1
0.9464326,0.17733338,0.64490116,1
0.76624805,0.19558874,0.6863719,1
0.6477784,0.14084136,0.61328745,1
0.67534316,0.28370926,0.9994849,1
0.753915,0.012561053,0.7354866,1
0.6685879,0.17392227,0.63241994,1
0.9027281,0.21594849,0.59897316,1
0.8814683,0.44451028,0.5343616,1
0.76938176,0.18057692,0.96844864,1
0.59580004,0.41327786,0.56867754,1
0.7351606,0.09876412,0.91012084,1
0.8382442,0.3547143,0.5684924,1
0.68010646,0.24200353,0.7935602,1
0.5067676,0.46709716,0.6171723,1
0.54400563,0.21437648,0.9867569,1
0.86868036,0.03259507,0.51916313,1
0.5320183,0.2539482,0.86365926,1
0.68588936,0.35474625,0.50245047,1
0.89223945,0.04908201,0.79179364,1
0.8456483,0.46091893,0.9013474,1
0.95620954,0.32188454,0.9018791,1
0.93307537,0.13827303,0.9481862,1
0.72205997,0.28398708,0.6297082,1
0.9940464,0.13517293,0.89500284,1
0.83146995,0.22091162,0.68093383,1
0.99413836,0.33736372,0.6382946,1
0.72830427,0.2599465,0.7724223,1
0.5235139,0.36013255,0.552595,1
0.8647847,0.23737901,0.5169982,1
0.75788057,0.4094556,0.57395643,1
0.64344287,0.4600405,0.90300417,1
0.5724615,0.44026822,0.6182027,1
0.84825397,0.13279396,0.9340118,1
0.7079809,0.07753983,0.5531379,1
0.55157983,0.4490068,0.98993194,1
0.5486492,0.23928836,0.5865511,1
0.7384621,0.18277341,0.68282413,1
0.549044,0.085899085,0.7397914,1
0.70595527,0.09123373,0.75114274,1
0.7703707,0.03901148,0.8015362,1
0.44723547,0.84069824,0.19642591,0
0.16487515,0.6495625,0.43577713,0
0.090839,0.44332558,0.17670971,0
0.4590524,0.19198364,0.49320033,0
0.48987713,0.41710413,0.42032728,0
0.28349358,0.6822279,0.35402745,0
0.18754712,0.06554246,0.26356354,0
0.4938648,0.07732576,0.1753577,0
0.16020131,0.35627586,0.17239729,0
0.22424123,0.90420705,0.15937546,0
0.0301269,0.38316226,0.4574311,0
0.112172395,0.21408546,0.22938961,0
0.15345803,0.35167968,0.004896283,0
0.2760494,0.6323601,0.3402662,0
0.137543,0.42866528,0.44016114,0
0.48697644,0.3870752,0.17318535,0
0.10119325,0.9820647,0.4329146,0
0.32109034,0.46575367,0.015514046,0
0.27490744,0.68869644,0.35848388,0
0.12579677,0.94222176,0.007909685,0
0.22087702,0.050516605,0.15981406,0
0.22152412,0.7545453,0.3345669,0
0.45281526,0.45036727,0.27590105,0
0.4901976,0.6014274,0.0038937628,0
0.29864952,0.8529611,0.088849664,0
0.4650437,0.7498523,0.43494493,0
0.32503697,0.08189535,0.48713157,0
0.14446133,0.6520672,0.47258705,0
0.46338218,0.017139494,0.29162854,0
0.46310988,0.68857443,0.20828655,0
0.3631797,0.82869565,0.030878067,0
0.18012196,0.41446668,0.1937021,0
0.29199928,0.87305105,0.23405808,0
0.38163805,0.7691188,0.37750816,0
0.106699675,0.99904186,0.41354048,0
0.308689,0.36352682,0.4779725,0
0.35380378,0.99722874,0.3385528,0
0.015114307,0.8770773,0.38601524,0
0.22440845,0.115208685,0.12169334,0
0.11138743,0.77288145,0.10450485,0
0.31301975,0.8817179,0.16321552,0
0.101973176,0.17774498,0.4108659,0
0.21247312,0.49486852,0.04273355,0
0.17619571,0.649915,0.20972294,0
0.033013463,0.7442661,0.27847528,0
0.2467722,0.22963554,0.014282107,0
0.46938345,0.4423929,0.35454133,0
0.068348646,0.22272807,0.40004233,0
0.11719072,0.818282,0.029502392,0
0.48142973,0.6797167,0.081296325,0
